FREQ,Frequenza,REF_AREA,Territorio,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITD3,Veneto,1,Maschi,Y25-34,25-34 anni,2023,221.366,,
A,Annuale,ITD3,Veneto,1,Maschi,Y25-34,25-34 anni,2024,228.672,,
A,Annuale,ITD3,Veneto,1,Maschi,Y25-34,25-34 anni,2025,228.878,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-34,15-34 anni,2018,269.853,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-34,15-34 anni,2019,278.209,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-34,15-34 anni,2020,268.953,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-34,15-34 anni,2021,274.28,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-34,15-34 anni,2022,294.939,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-34,15-34 anni,2023,303.154,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-34,15-34 anni,2024,301.332,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-34,15-34 anni,2025,292.434,,
A,Annuale,ITD3,Veneto,1,Maschi,Y35-49,35-49 anni,2018,497.042,,
A,Annuale,ITD3,Veneto,1,Maschi,Y35-49,35-49 anni,2019,489.303,,
A,Annuale,ITD3,Veneto,1,Maschi,Y35-49,35-49 anni,2020,469.703,,
A,Annuale,ITD3,Veneto,1,Maschi,Y35-49,35-49 anni,2021,453.292,,
A,Annuale,ITD3,Veneto,1,Maschi,Y35-49,35-49 anni,2022,449.277,,
A,Annuale,ITD3,Veneto,1,Maschi,Y35-49,35-49 anni,2023,442.975,,
A,Annuale,ITD3,Veneto,1,Maschi,Y35-49,35-49 anni,2024,439.631,,
A,Annuale,ITD3,Veneto,1,Maschi,Y35-49,35-49 anni,2025,436.275,,
A,Annuale,ITD3,Veneto,1,Maschi,Y50-64,50-64 anni,2018,398.533,,
A,Annuale,ITD3,Veneto,1,Maschi,Y50-64,50-64 anni,2019,416.285,,
A,Annuale,ITD3,Veneto,1,Maschi,Y50-64,50-64 anni,2020,418.332,,
A,Annuale,ITD3,Veneto,1,Maschi,Y50-64,50-64 anni,2021,411.094,,
A,Annuale,ITD3,Veneto,1,Maschi,Y50-64,50-64 anni,2022,429.231,,
A,Annuale,ITD3,Veneto,1,Maschi,Y50-64,50-64 anni,2023,457.267,,
A,Annuale,ITD3,Veneto,1,Maschi,Y50-64,50-64 anni,2024,465.483,,
A,Annuale,ITD3,Veneto,1,Maschi,Y50-64,50-64 anni,2025,473.899,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-64,15-64 anni,2018,1165.428,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-64,15-64 anni,2019,1183.796,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-64,15-64 anni,2020,1156.988,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-64,15-64 anni,2021,1138.666,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-64,15-64 anni,2022,1173.447,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-64,15-64 anni,2023,1203.396,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-64,15-64 anni,2024,1206.446,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-64,15-64 anni,2025,1202.608,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-89,15-89 anni,2018,1208.793,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-89,15-89 anni,2019,1226.206,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-89,15-89 anni,2020,1196.425,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-89,15-89 anni,2021,1180.769,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-89,15-89 anni,2022,1216.827,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-89,15-89 anni,2023,1251.88,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-89,15-89 anni,2024,1260.763,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-89,15-89 anni,2025,1255.248,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-24,15-24 anni,2018,43.126,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-24,15-24 anni,2019,49.894,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-24,15-24 anni,2020,37.319,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-24,15-24 anni,2021,38.121,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-24,15-24 anni,2022,51.714,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-24,15-24 anni,2023,56.159,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-24,15-24 anni,2024,42.292,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-24,15-24 anni,2025,46.718,,
A,Annuale,ITD3,Veneto,2,Femmine,Y25-34,25-34 anni,2018,174.352,,
A,Annuale,ITD3,Veneto,2,Femmine,Y25-34,25-34 anni,2019,167.818,,
A,Annuale,ITD3,Veneto,2,Femmine,Y25-34,25-34 anni,2020,159.318,,
A,Annuale,ITD3,Veneto,2,Femmine,Y25-34,25-34 anni,2021,166.968,,
A,Annuale,ITD3,Veneto,2,Femmine,Y25-34,25-34 anni,2022,170.191,,
A,Annuale,ITD3,Veneto,2,Femmine,Y25-34,25-34 anni,2023,173.151,,
A,Annuale,ITD3,Veneto,2,Femmine,Y25-34,25-34 anni,2024,172.33,,
A,Annuale,ITD3,Veneto,2,Femmine,Y25-34,25-34 anni,2025,175.309,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-34,15-34 anni,2018,217.478,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-34,15-34 anni,2019,217.713,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-34,15-34 anni,2020,196.636,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-34,15-34 anni,2021,205.089,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-34,15-34 anni,2022,221.905,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-34,15-34 anni,2023,229.31,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-34,15-34 anni,2024,214.622,,
A,Annuale,ITD3,Veneto,2,Femmine,Y15-34,15-34 anni,2025,222.028,,
A,Annuale,ITD3,Veneto,2,Femmine,Y35-49,35-49 anni,2018,388.044,,
A,Annuale,ITD3,Veneto,2,Femmine,Y35-49,35-49 anni,2019,381.422,,
A,Annuale,ITD3,Veneto,2,Femmine,Y35-49,35-49 anni,2020,364.12,,
A,Annuale,ITD3,Veneto,2,Femmine,Y35-49,35-49 anni,2021,365.177,,
A,Annuale,ITD3,Veneto,2,Femmine,Y35-49,35-49 anni,2022,362.564,,
A,Annuale,ITD3,Veneto,2,Femmine,Y35-49,35-49 anni,2023,367.7,,
A,Annuale,ITD3,Veneto,2,Femmine,Y35-49,35-49 anni,2024,372.521,,
A,Annuale,ITD3,Veneto,2,Femmine,Y35-49,35-49 anni,2025,334.223,,
A,Annuale,ITD3,Veneto,2,Femmine,Y50-64,50-64 anni,2018,295.384,,
A,Annuale,ITD3,Veneto,2,Femmine,Y50-64,50-64 anni,2019,311.373,,
A,Annuale,ITD3,Veneto,2,Femmine,Y50-64,50-64 anni,2020,297.722,,
