FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y20-64,20-64 anni,2016,10.79614,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y20-64,20-64 anni,2017,10.279751,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y20-64,20-64 anni,2018,9.601647,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y20-64,20-64 anni,2019,8.959016,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y20-64,20-64 anni,2020,8.460973,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y20-64,20-64 anni,2021,8.538449,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y20-64,20-64 anni,2022,7.028067,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y20-64,20-64 anni,2023,6.714675,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y20-64,20-64 anni,2024,5.797612,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y20-64,20-64 anni,2025,5.645999,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2004,6.473583,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2005,6.341364,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2006,5.58511,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2007,5.022025,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2008,5.643697,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-64,15-64 anni,2009,6.992395,,
