FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2022,2.71,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,1.756,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,1.852,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2025,1.47,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2018,3.94,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2019,3.836,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2020,4.319,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2021,4.307,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2022,3.528,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,2.516,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,2.68,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2025,2.183,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2018,22.144,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2019,16.395,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2020,19.913,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2021,22.137,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2022,17.772,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,11.173,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,13.878,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2025,13.8,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2018,37.116,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2019,33.292,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2020,38.011,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2021,36.428,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2022,26.571,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,22.308,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,24.589,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2025,28.132,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2018,38.926,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2019,34.773,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2020,39.938,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2021,38.516,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2022,29.432,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,22.57,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,24.984,,
