FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITC1,Piemonte,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,2025,7.809646,,
A,Annuale,ITC1,Piemonte,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2018,20.606765,,
A,Annuale,ITC1,Piemonte,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2019,18.954207,,
A,Annuale,ITC1,Piemonte,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2020,23.04071,,
A,Annuale,ITC1,Piemonte,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2021,21.828165,,
A,Annuale,ITC1,Piemonte,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2022,17.171388,,
A,Annuale,ITC1,Piemonte,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2023,13.546941,,
A,Annuale,ITC1,Piemonte,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2024,10.47593,,
A,Annuale,ITC1,Piemonte,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2025,10.979072,,
A,Annuale,ITC1,Piemonte,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),9,Totale,Y15-29,15-29 anni,2018,17.60657,,
A,Annuale,ITC1,Piemonte,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),9,Totale,Y15-29,15-29 anni,2019,16.514095,,
A,Annuale,ITC1,Piemonte,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),9,Totale,Y15-29,15-29 anni,2020,20.014564,,
A,Annuale,ITC1,Piemonte,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),9,Totale,Y15-29,15-29 anni,2021,19.194039,,
A,Annuale,ITC1,Piemonte,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),9,Totale,Y15-29,15-29 anni,2022,15.351761,,
A,Annuale,ITC1,Piemonte,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),9,Totale,Y15-29,15-29 anni,2023,11.720898,,
A,Annuale,ITC1,Piemonte,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),9,Totale,Y15-29,15-29 anni,2024,9.810216,,
A,Annuale,ITC1,Piemonte,NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),9,Totale,Y15-29,15-29 anni,2025,9.326424,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,2018,15.057484,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,2019,13.178381,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,2020,17.295668,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,2021,17.634647,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,2022,14.268387,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,2023,9.70704,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,2024,10.181191,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-29,15-29 anni,2025,8.190618,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2018,17.508496,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2019,16.313634,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2020,17.057793,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2021,18.396447,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2022,16.474695,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2023,10.088331,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET_I,Incidenza dei giovani Neet di 15-34 anni (non occupati e non in istruzione),2,Femmine,Y15-29,15-29 anni,2024,10.482568,,
